evento,numero di run,numero di evento,giorno,mese,anno,ora,minuti,secondi,miliardesimi di secondo,pT 0,eta 0,phi 0,pT 1,eta 1,phi 1,pT 2,eta 2,phi 2,pT nu,phi nu,NN,prob,differenza numero di run
9,279279,175493371,13,9,2015,20,13,28,529197165,44.2214,0.546485,-2.17751,38.8047,0.601028,-1.49754,25.5128,-0.343128,-0.881864,49.3023,-1.59778,0.19487,0.19487,
13,279685,1773212760,18,9,2015,10,45,5,826316885,117.656,0.941765,0.671556,53.4429,1.61738,-1.12087,31.8163,1.98701,-3.02338,122.842,2.71199,0.00995743,0.00995743,406.0
14,279685,1459948249,18,9,2015,8,14,48,968564660,511.855,0.331309,-0.629419,22.5421,0.439698,3.07522,56.2975,-1.84283,2.50103,385.582,2.56083,4.49292e-06,4.49292e-06,0.0
12,279813,245072562,19,9,2015,10,40,14,768054455,23.9311,-2.16046,-2.91948,16.0304,-2.28105,-1.6665,40.6944,-0.799492,2.34423,47.4029,-0.104239,0.158948,0.158948,128.0
0,280464,785561112,28,9,2015,5,44,16,466957290,57.5234,-0.231221,-2.32633,168.859,-0.449977,-2.31569,50.5724,-0.744262,-2.41428,380.918,-2.23558,0.202753,0.202753,651.0
26,280753,710029184,1,10,2015,6,10,51,595655660,17.7796,0.610751,2.13594,27.855,0.719473,-3.06496,43.267,1.44158,-0.319141,54.9752,-0.078476,0.199549,0.199549,289.0
24,280862,813324139,2,10,2015,20,14,34,171273795,20.5405,0.687032,1.96923,46.9017,1.58965,1.64023,31.7352,0.0985548,-2.62131,62.3376,-0.890963,0.589072,0.589072,109.0
18,280950,569331012,3,10,2015,23,35,55,921094555,22.7412,2.07655,-1.43284,21.9364,1.80189,0.618023,143.208,0.547987,-3.06918,57.9072,-1.04794,0.406764,0.406764,88.0
19,280950,837567259,4,10,2015,0,54,39,892115040,16.9828,0.213207,-1.68685,42.6976,0.649395,0.31594,15.4577,-2.18278,1.48885,40.368,-2.79687,0.0787128,0.0787128,0.0
20,280950,2394717489,4,10,2015,9,17,20,859708395,23.7476,1.12768,0.556731,32.9645,-0.302438,2.466,31.6615,0.125947,-2.6689,35.0225,-0.737945,0.180745,0.180745,0.0
